slurm_index,HUC4,HUC2,toBasin,level
0,0101,01,NA,0
1,0102,01,0105,0
2,0106,01,NA,0
3,0107,01,NA,0
4,0108,01,NA,0
5,0109,01,NA,0
6,0110,01,NA,0
7,0202,02,0203,0
8,0204,02,NA,0
9,0205,02,0206,0
10,0206,02,0208,1
11,0301,03,NA,0
12,0302,03,NA,0
13,0303,03,NA,0
14,0304,03,NA,0
15,0305,03,NA,0
16,0306,03,NA,0
17,0307,03,NA,0
18,0308,03,NA,0
19,0309,03,NA,0
20,0310,03,NA,0
21,0311,03,NA,0
22,0312,03,NA,0
23,0313,03,NA,0
24,0314,03,NA,0
25,0315,03,0316,0
26,0317,03,NA,0
27,0318,03,NA,0
28,0424,04,0409,3
29,0401,04,0418,0
30,0403,04,0419,0
31,0418,04,0420,1
32,0419,04,0424,1
33,0409,04,0426,4
34,0426,04,0427,5
35,0428,04,0429,7
36,0430,04,NA,7
37,0501,05,0503,0
38,0503,05,0509,1
39,0509,05,0514,2
40,0601,06,0602,0
41,0602,06,0603,1
42,0603,06,0604,2
43,0702,07,0701,0
44,0701,07,0704,1
45,0704,07,0706,2
46,0706,07,0708,3
47,0708,07,0711,4
48,0712,07,0713,0
49,0711,07,0714,11
50,0514,08,0801,4
51,0801,08,0802,13
52,0802,08,0803,14
53,0805,08,0804,0
54,0803,08,0806,15
55,0806,08,0807,16
56,0804,08,0808,3
57,0807,08,0809,17
58,0901,09,NA,0
59,0902,09,NA,0
60,0903,09,NA,0
61,0904,09,NA,0
62,1002,10,1003,0
63,1003,10,1004,1
64,1004,10,1006,2
65,1007,10,1010,0
66,1006,10,1011,3
67,1011,10,1013,4
68,1013,10,1014,5
69,1014,10,1017,6
70,1018,10,1020,0
71,1017,10,1023,7
72,1023,10,1024,8
73,1025,10,1027,0
74,1024,10,1030,9
75,1102,11,1103,0
76,1104,11,1105,0
77,1103,11,1106,1
78,1108,11,1109,0
79,1106,11,1111,2
80,1112,11,1113,0
81,1113,11,1114,1
82,1201,12,1204,0
83,1205,12,1206,0
84,1206,12,1207,1
85,1208,12,1209,0
86,1210,12,NA,0
87,1211,12,NA,0
88,1301,13,1302,0
89,1302,13,1303,1
90,1303,13,1304,2
91,1305,13,NA,0
92,1306,13,1307,0
93,1304,13,1308,3
94,1308,13,1309,4
95,1402,14,1401,0
96,1401,14,1403,1
97,1404,14,1406,0
98,1403,14,1407,2
99,1502,15,1501,0
100,1501,15,1503,4
101,1504,15,1505,0
102,1505,15,1507,1
103,1508,15,NA,0
104,1601,16,1602,0
105,1603,16,NA,0
106,1604,16,1605,0
107,1606,16,NA,0
108,1701,17,1702,0
109,1704,17,1705,0
110,1705,17,1706,1
111,1702,17,1707,3
112,1707,17,1708,4
113,1710,17,NA,0
114,1711,17,NA,0
115,1712,17,NA,0
116,1801,18,NA,0
117,1802,18,NA,0
118,1803,18,1804,0
119,1805,18,NA,0
120,1806,18,NA,0
121,1807,18,NA,0
122,1808,18,NA,0
123,1809,18,NA,0
124,1810,18,NA,0
125,0103,01,0105,0
126,0203,02,NA,1
127,0207,02,0208,0
128,0316,03,NA,1
129,0402,04,0418,0
130,0404,04,0419,0
131,0420,04,0424,2
132,0410,04,0426,0
133,0413,04,0428,0
134,0429,04,NA,8
135,0502,05,0503,0
136,0505,05,0509,0
137,0510,05,0514,0
138,0703,07,0704,0
139,0707,07,0706,0
140,0709,07,0708,0
141,0710,07,0711,0
142,0714,08,0801,12
143,1101,08,0802,0
144,1114,08,0804,2
145,0808,08,NA,4
146,0809,08,NA,18
147,1005,10,1006,0
148,1008,10,1010,0
149,1012,10,1013,0
150,1015,10,1017,0
151,1019,10,1020,0
152,1020,10,1024,1
153,1026,10,1027,0
154,1028,10,1030,0
155,1105,11,1106,1
156,1110,11,1109,0
157,1107,11,1111,0
158,1202,12,1204,0
159,1207,12,NA,2
160,1209,12,NA,1
161,1309,13,NA,5
162,1405,14,1406,0
163,1406,14,1407,1
164,1407,15,1501,3
165,1507,15,1503,2
166,1506,15,1507,0
167,1602,16,NA,1
168,1605,16,NA,1
169,1703,17,1702,0
170,1709,17,1708,0
171,1804,18,NA,1
172,0104,01,0105,0
173,0208,02,NA,2
174,0405,04,0419,0
175,0407,04,0424,0
176,0411,04,0426,0
177,0414,04,0428,0
178,0427,04,0430,6
179,0504,05,0503,0
180,0506,05,0509,0
181,0511,05,0514,0
182,0705,07,0704,0
183,0713,07,0711,1
184,1111,08,0802,3
185,1010,10,1006,1
186,1009,10,1010,0
187,1016,10,1017,0
188,1021,10,1020,0
189,1029,10,1030,0
190,1109,11,1111,1
191,1203,12,1204,0
192,1307,13,1304,1
193,1408,14,1407,0
194,1503,15,NA,5
195,1706,17,1702,2
196,1708,17,NA,5
197,0105,01,NA,1
198,0406,04,0419,0
199,0408,04,0424,0
200,0412,04,0426,0
201,0507,05,0509,0
202,0512,05,0514,0
203,1030,07,0711,10
204,1022,10,1020,0
205,1027,10,1030,1
206,1204,12,NA,1
207,0508,05,0509,0
208,0513,05,0514,0
209,0604,05,0514,3
