slurm_index,HUC4,HUC2,toBasin,level
0,0101,01,NA,0
1,0102,01,0105,0
2,0106,01,NA,0
3,0107,01,NA,0
4,0108,01,NA,0
5,0109,01,NA,0
6,0110,01,NA,0
7,0202,02,0203,0
8,0204,02,NA,0
9,0205,02,0206,0
10,0206,02,0208,1
11,0301,03,NA,0
12,0302,03,NA,0
13,0303,03,NA,0
14,0304,03,NA,0
15,0305,03,NA,0
16,0306,03,NA,0
17,0307,03,NA,0
18,0308,03,NA,0
19,0309,03,NA,0
20,0310,03,NA,0
21,0311,03,NA,0
22,0312,03,NA,0
23,0313,03,NA,0
24,0314,03,NA,0
25,0315,03,0316,0
26,0317,03,NA,0
27,0318,03,NA,0
28,0401,04,0418,0
29,0403,04,0419,0
30,0409,04,0426,4
31,0430,04,NA,7
32,0501,05,0503,0
33,0503,05,0509,1
34,0509,05,0514,2
35,0601,06,0602,0
36,0602,06,0603,1
37,0603,06,0604,2
38,0702,07,0701,0
39,0701,07,0704,1
40,0704,07,0706,2
41,0706,07,0708,3
42,0708,07,0711,4
43,0712,07,0713,0
44,0711,07,0714,11
45,0514,08,0801,4
46,0801,08,0802,13
47,0802,08,0803,14
48,0805,08,0804,0
49,0803,08,0806,15
50,0806,08,0807,16
51,0804,08,0808,3
52,0807,08,0809,17
53,0901,09,NA,0
54,0902,09,NA,0
55,0903,09,NA,0
56,0904,09,NA,0
57,1002,10,1003,0
58,1003,10,1004,1
59,1004,10,1006,2
60,1007,10,1010,0
61,1006,10,1011,3
62,1011,10,1013,4
63,1013,10,1014,5
64,1014,10,1017,6
65,1018,10,1020,0
66,1017,10,1023,7
67,1023,10,1024,8
68,1025,10,1027,0
69,1024,10,1030,9
70,1102,11,1103,0
71,1104,11,1105,0
72,1103,11,1106,1
73,1108,11,1109,0
74,1106,11,1111,2
75,1112,11,1113,0
76,1113,11,1114,1
77,1201,12,1204,0
78,1205,12,1206,0
79,1206,12,1207,1
80,1208,12,1209,0
81,1210,12,NA,0
82,1211,12,NA,0
83,1301,13,1302,0
84,1302,13,1303,1
85,1303,13,1304,2
86,1305,13,NA,0
87,1306,13,1307,0
88,1304,13,1308,3
89,1308,13,1309,4
90,1402,14,1401,0
91,1401,14,1403,1
92,1404,14,1406,0
93,1403,14,1407,2
94,1502,15,1501,0
95,1501,15,1503,4
96,1504,15,1505,0
97,1505,15,1507,1
98,1508,15,NA,0
99,1601,16,1602,0
100,1603,16,NA,0
101,1604,16,1605,0
102,1606,16,NA,0
103,1701,17,1702,0
104,1704,17,1705,0
105,1705,17,1706,1
106,1702,17,1707,3
107,1707,17,1708,4
108,1710,17,NA,0
109,1711,17,NA,0
110,1712,17,NA,0
111,1801,18,NA,0
112,1802,18,NA,0
113,1803,18,1804,0
114,1805,18,NA,0
115,1806,18,NA,0
116,1807,18,NA,0
117,1808,18,NA,0
118,1809,18,NA,0
119,1810,18,NA,0
120,0103,01,0105,0
121,0203,02,NA,1
122,0207,02,0208,0
123,0316,03,NA,1
124,0402,04,0418,0
125,0404,04,0419,0
126,0420,04,0424,2
127,0410,04,0426,0
128,0413,04,0428,0
129,0429,04,NA,8
130,0502,05,0503,0
131,0505,05,0509,0
132,0510,05,0514,0
133,0703,07,0704,0
134,0707,07,0706,0
135,0709,07,0708,0
136,0710,07,0711,0
137,0714,08,0801,12
138,1101,08,0802,0
139,1114,08,0804,2
140,0808,08,NA,4
141,0809,08,NA,18
142,1005,10,1006,0
143,1008,10,1010,0
144,1012,10,1013,0
145,1015,10,1017,0
146,1019,10,1020,0
147,1020,10,1024,1
148,1026,10,1027,0
149,1028,10,1030,0
150,1105,11,1106,1
151,1110,11,1109,0
152,1107,11,1111,0
153,1202,12,1204,0
154,1207,12,NA,2
155,1209,12,NA,1
156,1309,13,NA,5
157,1405,14,1406,0
158,1406,14,1407,1
159,1407,15,1501,3
160,1507,15,1503,2
161,1506,15,1507,0
162,1602,16,NA,1
163,1605,16,NA,1
164,1703,17,1702,0
165,1709,17,1708,0
166,1804,18,NA,1
167,0104,01,0105,0
168,0208,02,NA,2
169,0405,04,0419,0
170,0407,04,0424,0
171,0411,04,0426,0
172,0414,04,0428,0
173,0427,04,0430,6
174,0504,05,0503,0
175,0506,05,0509,0
176,0511,05,0514,0
177,0705,07,0704,0
178,0713,07,0711,1
179,1111,08,0802,3
180,1010,10,1006,1
181,1009,10,1010,0
182,1016,10,1017,0
183,1021,10,1020,0
184,1029,10,1030,0
185,1109,11,1111,1
186,1203,12,1204,0
187,1307,13,1304,1
188,1408,14,1407,0
189,1503,15,NA,5
190,1706,17,1702,2
191,1708,17,NA,5
192,0105,01,NA,1
193,0406,04,0419,0
194,0408,04,0424,0
195,0412,04,0426,0
196,0507,05,0509,0
197,0512,05,0514,0
198,1030,07,0711,10
199,1022,10,1020,0
200,1027,10,1030,1
201,1204,12,NA,1
202,0508,05,0509,0
203,0513,05,0514,0
204,0604,05,0514,3
