,slurm_index,HUC4,HUC2,toBasin,level,PIXC
0,0,0101,01,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_313_233L_20240407T184457_20240407T184508_PIC0_01.nc
1,1,0102,01,0105,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_313_233L_20240407T184457_20240407T184508_PIC0_01.nc
2,2,0106,01,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_313_233L_20240407T184457_20240407T184508_PIC0_01.nc
3,3,0107,01,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_313_233L_20240407T184457_20240407T184508_PIC0_01.nc
4,4,0108,01,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_313_233L_20240407T184457_20240407T184508_PIC0_01.nc
5,5,0109,01,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_313_233L_20240407T184457_20240407T184508_PIC0_01.nc
6,6,0110,01,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_313_233L_20240407T184457_20240407T184508_PIC0_01.nc
7,7,0202,02,0203,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_014_076_086R_20240420T035233_20240420T035244_PIC0_01.nc
8,8,0204,02,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_014_076_086R_20240420T035233_20240420T035244_PIC0_01.nc
9,9,0205,02,0206,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_014_076_086R_20240420T035233_20240420T035244_PIC0_01.nc
10,10,0206,02,0208,1,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_014_076_086R_20240420T035233_20240420T035244_PIC0_01.nc
11,11,0301,03,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_382_093R_20240410T053125_20240410T053136_PIC0_01.nc
12,12,0302,03,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_382_093R_20240410T053125_20240410T053136_PIC0_01.nc
13,13,0303,03,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_382_093R_20240410T053125_20240410T053136_PIC0_01.nc
14,14,0304,03,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_382_093R_20240410T053125_20240410T053136_PIC0_01.nc
15,15,0305,03,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_382_093R_20240410T053125_20240410T053136_PIC0_01.nc
16,16,0306,03,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_382_093R_20240410T053125_20240410T053136_PIC0_01.nc
17,17,0307,03,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_382_093R_20240410T053125_20240410T053136_PIC0_01.nc
18,18,0308,03,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_382_093R_20240410T053125_20240410T053136_PIC0_01.nc
19,19,0309,03,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_382_093R_20240410T053125_20240410T053136_PIC0_01.nc
20,20,0310,03,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_382_093R_20240410T053125_20240410T053136_PIC0_01.nc
21,21,0311,03,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_382_093R_20240410T053125_20240410T053136_PIC0_01.nc
22,22,0312,03,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_382_093R_20240410T053125_20240410T053136_PIC0_01.nc
23,23,0313,03,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_382_093R_20240410T053125_20240410T053136_PIC0_01.nc
24,24,0314,03,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_382_093R_20240410T053125_20240410T053136_PIC0_01.nc
25,25,0315,03,0316,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_382_093R_20240410T053125_20240410T053136_PIC0_01.nc
26,26,0317,03,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_382_093R_20240410T053125_20240410T053136_PIC0_01.nc
27,27,0318,03,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_382_093R_20240410T053125_20240410T053136_PIC0_01.nc
28,28,0401,04,0418,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_175_237L_20240402T202556_20240402T202607_PIC0_01.nc
29,29,0403,04,0419,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_175_237L_20240402T202556_20240402T202607_PIC0_01.nc
30,30,0409,04,0426,4,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_175_237L_20240402T202556_20240402T202607_PIC0_01.nc
31,31,0430,04,,7,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_175_237L_20240402T202556_20240402T202607_PIC0_01.nc
32,32,0501,05,0503,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_425_224L_20240411T184532_20240411T184543_PIC0_01.nc
33,33,0503,05,0509,1,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_425_224L_20240411T184532_20240411T184543_PIC0_01.nc
34,34,0509,05,0514,2,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_425_224L_20240411T184532_20240411T184543_PIC0_01.nc
35,35,0601,06,0602,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_175_216L_20240402T202226_20240402T202237_PIC0_01.nc
36,36,0602,06,0603,1,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_175_216L_20240402T202226_20240402T202237_PIC0_01.nc
37,37,0603,06,0604,2,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_175_216L_20240402T202226_20240402T202237_PIC0_01.nc
38,38,0702,07,0701,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_188_076L_20240403T070751_20240403T070802_PIC0_01.nc
39,39,0701,07,0704,1,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_188_076L_20240403T070751_20240403T070802_PIC0_01.nc
40,40,0704,07,0706,2,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_188_076L_20240403T070751_20240403T070802_PIC0_01.nc
41,41,0706,07,0708,3,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_188_076L_20240403T070751_20240403T070802_PIC0_01.nc
42,42,0708,07,0711,4,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_188_076L_20240403T070751_20240403T070802_PIC0_01.nc
43,43,0712,07,0713,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_188_076L_20240403T070751_20240403T070802_PIC0_01.nc
44,44,0711,07,0714,11,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_188_076L_20240403T070751_20240403T070802_PIC0_01.nc
45,45,0514,08,0801,4,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_244_101R_20240405T071302_20240405T071314_PIC0_01.nc
46,46,0801,08,0802,13,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_244_101R_20240405T071302_20240405T071314_PIC0_01.nc
47,47,0802,08,0803,14,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_244_101R_20240405T071302_20240405T071314_PIC0_01.nc
48,48,0805,08,0804,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_244_101R_20240405T071302_20240405T071314_PIC0_01.nc
49,49,0803,08,0806,15,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_244_101R_20240405T071302_20240405T071314_PIC0_01.nc
50,50,0806,08,0807,16,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_244_101R_20240405T071302_20240405T071314_PIC0_01.nc
