tile,huc4,coverage
007_232L,0105,0.9453526844596779
007_232R,0105,0.1776101993938749
007_233L,0102,0.5920535873904824
007_233L,0103,0.006881169249307621
007_233L,0105,0.40106524335961274
007_233R,0105,0.8786585077115175
007_234L,0102,0.8903619972643817
007_234L,0105,0.10963800273418775
007_234R,0102,0.04268278108450213
007_234R,0105,0.9573172189155005
007_235L,0101,0.028684572587373308
007_235L,0102,0.968499752036132
007_235L,0105,0.002815675389570864
007_235R,0101,0.17375376334594317
007_235R,0102,0.12964484569703363
007_235R,0105,0.6966013909570201
007_236L,0101,0.844526601367886
007_236L,0102,0.15547339865049792
007_236R,0101,0.8150094805538863
007_237L,0101,0.9002741479375056
007_237R,0101,0.055626796432717944
007_238L,0101,0.336443781696774
009_198L,1312,0.25108383957763425
009_199L,1312,0.9523737586073636
009_199R,1312,0.08010274818779932
009_200L,1309,0.3396873643726509
009_200L,1312,0.6603126356273566
009_200R,1309,0.3649281487755511
009_200R,1312,0.5430528117122406
009_201L,1308,0.28781458090708706
009_201L,1309,0.4519094688503353
009_201L,1311,0.25938092987074357
009_201L,1312,0.0008950203718313831
009_201R,1211,0.16048479799523913
009_201R,1308,0.03248966884020179
009_201R,1309,0.7675554066923753
009_201R,1312,0.03947012647341682
009_202L,1211,0.01916189980914405
009_202L,1308,0.9772648383357199
009_202L,1311,0.0035732618551407975
009_202R,1211,0.8263308241129067
009_202R,1308,0.1269875595847869
009_202R,1309,0.0466816163107521
009_203L,1211,0.7748388597306077
009_203L,1308,0.22516114027801365
009_203R,1211,1.0
009_204L,1211,1.0
009_204R,1211,1.0
009_205L,1211,1.0000000000000002
009_205R,1210,0.15307868126269158
009_205R,1211,0.8469213187371216
009_206L,1210,0.7174760025881087
009_206L,1211,0.28252399741160633
009_206R,1210,0.9709981750911834
009_206R,1211,0.029001824908718915
009_207L,1209,0.3225871953448387
009_207L,1210,0.6774128046553574
009_207R,1209,0.23180817692145214
009_207R,1210,0.7681918230787576
009_208L,1207,0.012897516043239077
009_208L,1209,0.9871024839567166
009_208R,1207,0.37752250502339857
009_208R,1209,0.6224774949763586
009_209L,1207,0.4401175856036367
009_209L,1209,0.5598824143961176
009_209R,1207,1.0
009_210L,1206,0.09381444193660983
009_210L,1207,0.8495438998108368
009_210L,1209,0.056641658252479486
009_210R,1206,0.6548077635498496
009_210R,1207,0.345192236450152
009_211L,1206,0.8743292807504411
009_211L,1207,0.12567071924956066
009_211R,1203,0.104653549624449
009_211R,1206,0.8953464503755466
009_212L,1203,0.27979225376695027
009_212L,1206,0.720207746233046
009_212R,1203,0.9643287125613145
009_212R,1206,0.03567128743868985
009_213L,1113,0.1923501721850604
009_213L,1203,0.8075351489057425
009_213L,1206,0.00011467890918729582
009_213R,1203,1.0000000000000002
009_214L,1113,0.9872402437891
009_214L,1203,0.012759756210901354
009_214R,1113,0.834303043976612
009_214R,1203,0.16569695602338677
009_215L,1113,0.9999999999999999
009_215R,1109,0.038851661317546575
009_215R,1113,0.7908140648751605
009_215R,1114,0.17033427380736074
009_216L,1109,0.6210603898029322
009_216L,1110,0.06496062386832831
009_216L,1113,0.31397898632899707
009_216R,1109,0.7018665122036737
009_216R,1110,0.16936191091835334
009_216R,1113,0.05653960619684223
009_216R,1114,0.07223197068125375
009_217L,1105,0.38988813187850235
009_217L,1109,0.013737428480347145
009_217L,1110,0.5963744396411564
009_217R,1105,0.009552235125741784
009_217R,1110,0.9904477648742548
009_218L,1105,0.44627987518431067
009_218L,1106,0.5537201248156883
009_218R,1105,0.3873840132912605
009_218R,1106,0.26028283868722063
009_218R,1107,0.0882881409633482
009_218R,1110,0.0855174440752719
009_218R,1111,0.17852756298290204
009_219L,1103,0.0589899484328149
009_219L,1106,0.9343952810673778
009_219L,1107,0.006614770499802018
009_219R,1106,0.20465032657189058
009_219R,1107,0.7953496734281077
009_220L,1103,0.7093379410414119
009_220L,1106,0.24675028781027525
009_220L,1107,0.04391177114831237
009_220R,1106,0.0008700616799954881
009_220R,1107,0.9991299383200081
009_221L,1103,0.5728219760341918
009_221L,1107,0.4271780239658071
009_221R,1107,1.0
009_222L,1026,0.0035954227150683314
009_222L,1027,0.05113052441044858
009_222L,1029,0.010481776853112915
009_222L,1107,0.9347922760213692
009_222R,1029,0.42813803663959016
009_222R,1107,0.5718619633604011
009_223L,1026,0.01580376173572216
009_223L,1027,0.8855341140612565
009_223L,1029,0.02317489122742364
009_223L,1107,0.07548723297558765
009_223R,1027,0.7195892992976824
009_223R,1029,0.28041070070232593
009_224L,1024,0.11077990478666604
009_224L,1027,0.8892200952133381
009_224R,1024,0.1668738956009548
009_224R,1027,0.8331261043972218
009_225L,1024,0.8920167620491659
009_225L,1027,0.1079832379508423
009_225R,1024,0.9953882578125527
009_225R,1027,0.004611742187442332
009_226L,1020,0.11982463816769823
009_226L,1024,0.8801753618323002
009_226R,1024,1.0
009_227L,1020,0.0230726568542083
009_227L,1023,0.5634238015360045
009_227L,1024,0.41350354160978553
009_227R,1024,1.0
009_228L,1023,0.8004546421444094
009_228L,1024,0.19954535785558744
009_228R,0710,0.44301695908282096
009_228R,1023,0.008803158295339751
009_228R,1024,0.5481798826218425
009_229L,0710,0.16772938979421528
009_229L,1023,0.8322706102057894
009_229R,0710,0.9867203873545464
009_229R,1023,0.01327961264544807
009_230L,0710,0.2642849474093249
009_230L,1023,0.7357150525906765
009_230R,0710,1.0
009_231L,0702,0.1552770637726157
009_231L,0710,0.4919829958534738
009_231L,1023,0.3527399403739088
009_231R,0702,0.5462647034950537
009_231R,0710,0.4537352965049464
009_232L,0702,0.9551110517005899
009_232L,0710,0.04488894829941565
009_232R,0702,0.9950140292106725
009_232R,0704,0.0049859707893243526
