,old_slurm_index,slurm_index,index,files,cycle,pass,tile,version,counter
0,5,0,2816,SWOT_L2_HR_PIXC_001_242_071L_20230729T202412_20230729T202423_PGC0_01.nc,1,242,071L,PGC0,1
1,7,1,2818,SWOT_L2_HR_PIXC_001_242_072L_20230729T202422_20230729T202433_PGC0_01.nc,1,242,072L,PGC0,1
2,8,2,2817,SWOT_L2_HR_PIXC_001_242_072R_20230729T202422_20230729T202433_PGC0_01.nc,1,242,072R,PGC0,1
3,9,3,2821,SWOT_L2_HR_PIXC_001_242_073L_20230729T202432_20230729T202443_PGC0_01.nc,1,242,073L,PGC0,1
4,10,4,2819,SWOT_L2_HR_PIXC_001_242_073R_20230729T202432_20230729T202443_PGC0_01.nc,1,242,073R,PGC0,1
5,11,5,2820,SWOT_L2_HR_PIXC_001_242_074L_20230729T202442_20230729T202453_PGC0_01.nc,1,242,074L,PGC0,1
6,12,6,2822,SWOT_L2_HR_PIXC_001_242_074R_20230729T202442_20230729T202453_PGC0_01.nc,1,242,074R,PGC0,1
7,13,7,2824,SWOT_L2_HR_PIXC_001_242_075L_20230729T202452_20230729T202503_PGC0_01.nc,1,242,075L,PGC0,1
8,14,8,2823,SWOT_L2_HR_PIXC_001_242_075R_20230729T202452_20230729T202503_PGC0_01.nc,1,242,075R,PGC0,1
9,15,9,2826,SWOT_L2_HR_PIXC_001_242_076L_20230729T202502_20230729T202513_PGC0_01.nc,1,242,076L,PGC0,1
10,16,10,2825,SWOT_L2_HR_PIXC_001_242_076R_20230729T202502_20230729T202513_PGC0_01.nc,1,242,076R,PGC0,1
11,17,11,2828,SWOT_L2_HR_PIXC_001_242_077L_20230729T202512_20230729T202515_PGC0_01.nc,1,242,077L,PGC0,1
12,18,12,2827,SWOT_L2_HR_PIXC_001_242_077R_20230729T202512_20230729T202515_PGC0_01.nc,1,242,077R,PGC0,1
13,24,13,2835,SWOT_L2_HR_PIXC_001_270_072L_20230730T202454_20230730T202505_PGC0_01.nc,1,270,072L,PGC0,1
14,30,14,2841,SWOT_L2_HR_PIXC_001_270_075L_20230730T202524_20230730T202535_PGC0_01.nc,1,270,075L,PGC0,1
15,31,15,2840,SWOT_L2_HR_PIXC_001_270_075R_20230730T202524_20230730T202535_PGC0_01.nc,1,270,075R,PGC0,1
16,32,16,2843,SWOT_L2_HR_PIXC_001_270_076L_20230730T202534_20230730T202545_PGC0_01.nc,1,270,076L,PGC0,1
17,33,17,2842,SWOT_L2_HR_PIXC_001_270_076R_20230730T202534_20230730T202545_PGC0_01.nc,1,270,076R,PGC0,1
18,34,18,2845,SWOT_L2_HR_PIXC_001_270_077L_20230730T202544_20230730T202555_PGC0_01.nc,1,270,077L,PGC0,1
19,35,19,2844,SWOT_L2_HR_PIXC_001_270_077R_20230730T202544_20230730T202555_PGC0_01.nc,1,270,077R,PGC0,1
20,36,20,2847,SWOT_L2_HR_PIXC_001_270_078L_20230730T202554_20230730T202605_PGC0_01.nc,1,270,078L,PGC0,1
21,37,21,2846,SWOT_L2_HR_PIXC_001_270_078R_20230730T202554_20230730T202605_PGC0_01.nc,1,270,078R,PGC0,1
22,38,22,2849,SWOT_L2_HR_PIXC_001_270_079L_20230730T202604_20230730T202607_PGC0_01.nc,1,270,079L,PGC0,1
23,39,23,2848,SWOT_L2_HR_PIXC_001_270_079R_20230730T202604_20230730T202607_PGC0_01.nc,1,270,079R,PGC0,1
24,40,24,2851,SWOT_L2_HR_PIXC_001_270_081L_20230730T202624_20230730T202633_PGC0_01.nc,1,270,081L,PGC0,1
25,41,25,2850,SWOT_L2_HR_PIXC_001_270_081R_20230730T202624_20230730T202633_PGC0_01.nc,1,270,081R,PGC0,1
26,42,26,2853,SWOT_L2_HR_PIXC_001_285_233L_20230731T094337_20230731T094340_PGC0_01.nc,1,285,233L,PGC0,1
27,44,27,2855,SWOT_L2_HR_PIXC_001_285_234L_20230731T094339_20230731T094350_PGC0_01.nc,1,285,234L,PGC0,1
28,46,28,2857,SWOT_L2_HR_PIXC_001_285_235L_20230731T094349_20230731T094400_PGC0_01.nc,1,285,235L,PGC0,1
29,58,29,2868,SWOT_L2_HR_PIXC_001_298_075L_20230731T202555_20230731T202606_PGC0_01.nc,1,298,075L,PGC0,1
30,59,30,2870,SWOT_L2_HR_PIXC_001_298_076L_20230731T202605_20230731T202616_PGC0_01.nc,1,298,076L,PGC0,1
31,60,31,2869,SWOT_L2_HR_PIXC_001_298_076R_20230731T202605_20230731T202616_PGC0_01.nc,1,298,076R,PGC0,1
32,61,32,2872,SWOT_L2_HR_PIXC_001_298_077L_20230731T202615_20230731T202626_PGC0_01.nc,1,298,077L,PGC0,1
33,62,33,2871,SWOT_L2_HR_PIXC_001_298_077R_20230731T202615_20230731T202626_PGC0_01.nc,1,298,077R,PGC0,1
34,63,34,2874,SWOT_L2_HR_PIXC_001_298_078L_20230731T202625_20230731T202636_PGC0_01.nc,1,298,078L,PGC0,1
35,64,35,2873,SWOT_L2_HR_PIXC_001_298_078R_20230731T202625_20230731T202636_PGC0_01.nc,1,298,078R,PGC0,1
