Name,huc4
007_232L,0105
007_232R,0105
007_233L,0105
007_233L,0103
007_233L,0102
007_233R,0105
007_234L,0105
007_234L,0102
007_234R,0105
007_234R,0102
007_235L,0105
007_235L,0102
007_235L,0101
007_235R,0105
007_235R,0102
007_235R,0101
007_236L,0102
007_236L,0101
007_236R,0101
007_237L,0101
007_237R,0101
007_238L,0101
009_198L,1312
009_199L,1312
009_199R,1312
009_200L,1309
009_200L,1312
009_200R,1309
009_200R,1312
009_201L,1309
009_201L,1312
009_201L,1311
009_201L,1308
009_201R,1309
009_201R,1211
009_201R,1312
009_201R,1308
009_202L,1211
009_202L,1311
009_202L,1308
009_202R,1309
009_202R,1211
009_202R,1308
009_203L,1211
009_203L,1308
009_203R,1211
009_204L,1211
009_204R,1211
009_205L,1211
009_205R,1211
009_205R,1210
009_206L,1211
009_206L,1210
009_206R,1211
009_206R,1210
009_207L,1210
009_207L,1209
009_207R,1210
009_207R,1209
009_208L,1207
009_208L,1209
009_208R,1207
009_208R,1209
009_209L,1207
009_209L,1209
009_209R,1207
009_210L,1207
009_210L,1209
009_210L,1206
009_210R,1207
009_210R,1206
009_211L,1207
009_211L,1206
009_211R,1203
009_211R,1206
009_212L,1203
009_212L,1206
009_212R,1203
009_212R,1206
009_213L,1203
009_213L,1206
009_213L,1113
009_213R,1203
009_214L,1203
009_214L,1113
009_214R,1203
009_214R,1113
009_215L,1113
009_215R,1114
009_215R,1113
009_215R,1109
009_216L,1113
009_216L,1109
009_216L,1110
009_216R,1114
009_216R,1113
009_216R,1109
009_216R,1110
009_217L,1105
009_217L,1109
009_217L,1110
009_217R,1105
009_217R,1110
009_218L,1105
009_218L,1106
009_218R,1111
009_218R,1105
009_218R,1110
009_218R,1106
009_218R,1107
009_219L,1103
009_219L,1106
009_219L,1107
009_219R,1106
009_219R,1107
009_220L,1103
009_220L,1106
009_220L,1107
009_220R,1106
009_220R,1107
009_221L,1103
009_221L,1107
009_221R,1107
009_222L,1026
009_222L,1107
009_222L,1029
009_222L,1027
009_222R,1107
009_222R,1029
009_223L,1026
009_223L,1107
009_223L,1029
009_223L,1027
009_223R,1029
009_223R,1027
009_224L,1027
009_224L,1024
009_224R,1027
009_224R,1024
009_225L,1027
009_225L,1024
009_225R,1027
009_225R,1024
009_226L,1024
009_226L,1020
009_226R,1024
009_227L,1024
009_227L,1020
009_227L,1023
009_227R,1024
009_228L,1024
009_228L,1023
009_228R,1024
009_228R,0710
009_228R,1023
009_229L,0710
009_229L,1023
009_229R,0710
009_229R,1023
009_230L,0710
009_230L,1023
009_230R,0710
009_231L,0710
009_231L,1023
009_231L,0702
009_231R,0710
009_231R,0702
009_232L,0710
009_232L,0702
009_232R,0704
009_232R,0702
009_233L,0702
009_233L,0701
009_233R,0704
009_233R,0702
009_233R,0701
009_234L,0701
009_234R,0702
009_234R,0703
009_234R,0701
009_235L,0701
009_235R,0703
009_235R,0701
009_236L,0701
009_236R,0703
009_236R,0701
009_237L,0701
009_237R,0703
009_237R,0701
009_237R,0401
009_238L,0701
009_238L,0903
009_238R,0701
009_238R,0401
009_238R,0903
009_239L,0903
009_239R,0401
009_239R,0903
009_240L,0903
009_240R,0903
009_241L,0903
009_241R,0903
009_242L,0903
009_242R,0903
011_219R,1806
011_219R,1805
011_220L,1805
011_220R,1806
011_220R,1805
011_221L,1805
011_221R,1804
011_221R,1805
011_221R,1802
011_222L,1805
011_222L,1802
011_222L,1801
011_222R,1804
011_222R,1805
011_222R,1802
011_223L,1802
011_223R,1802
011_224L,1802
011_224R,1802
011_225L,1802
011_225R,1802
011_225R,1808
011_226L,1802
011_226R,1802
011_226R,1808
011_227L,1802
011_227L,1801
011_227R,1802
011_227R,1808
011_227R,1801
011_228L,1802
011_228L,1801
011_228R,1802
011_228R,1808
011_228R,1801
011_229L,1801
011_229L,1712
011_229R,1802
011_229R,1801
011_229R,1712
011_230L,1801
011_230L,1712
011_230R,1801
011_230R,1712
011_231L,1712
011_231L,1707
011_231R,1712
011_231R,1707
011_232L,1707
011_232R,1712
011_232R,1707
011_233L,1707
011_233R,1707
011_234L,1707
011_234R,1707
011_235L,1707
011_235L,1703
011_235R,1707
011_236L,1707
011_236L,1703
011_236L,1702
011_236R,1707
011_236R,1706
011_236R,1703
011_236R,1702
011_237L,1703
011_237L,1702
011_237R,1706
011_237R,1702
011_238L,1702
011_238R,1706
011_238R,1702
011_239L,1702
011_239R,1701
011_239R,1702
011_240L,1702
011_240R,1701
011_240R,1702
011_241L,1702
011_241R,1701
011_241R,1702
011_242L,1702
011_242R,1701
011_242R,1702
011_243L,1702
011_243R,1701
011_243R,1702
011_244L,1701
011_244L,1702
011_244R,1701
011_244R,1702
011_245L,1701
011_245L,1702
011_245R,1701
011_245R,1702
011_246L,1702
011_246R,1702
020_075L,0429
020_075L,0430
020_075R,0429
020_076L,0429
020_076L,0430
020_076R,0429
020_077L,0202
020_077L,0414
020_077L,0429
020_077L,0430
020_077R,0414
020_077R,0429
020_078L,0202
020_078L,0414
020_078L,0429
020_078L,0430
020_078R,0202
020_078R,0414
020_078R,0429
020_079L,0202
020_079L,0430
020_079R,0205
020_079R,0202
020_080L,0110
020_080L,0202
020_080R,0204
020_080R,0205
020_080R,0202
020_081L,0110
020_081L,0202
020_081R,0204
020_081R,0202
020_082L,0203
020_082L,0110
020_082L,0202
020_082R,0204
020_082R,0203
020_082R,0202
020_083L,0203
020_083L,0110
020_083R,0204
020_083R,0203
020_083R,0110
022_065R,0901
022_066L,0901
022_066R,0901
022_067L,0901
022_067R,0901
022_068L,0901
022_068R,1011
022_068R,0901
022_069L,1011
022_069L,0901
022_069R,1011
022_069R,0901
022_070L,1011
022_070L,0901
022_070R,1011
022_071L,1013
022_071L,1011
022_071R,1013
022_071R,1011
022_072L,1013
022_072R,1013
022_073L,1013
022_073R,1013
022_074L,1013
022_074R,1013
022_075L,1013
022_075R,1012
022_075R,1013
022_076L,1014
022_076L,1013
022_076R,1014
022_076R,1012
022_076R,1013
022_077L,1014
022_077R,1014
022_078L,1015
022_078L,1014
022_078R,1015
022_078R,1014
022_079L,1015
022_079L,1014
022_079L,1017
022_079R,1021
022_079R,1015
022_079R,1014
022_080L,1022
022_080L,1021
022_080L,1015
022_080R,1021
022_080R,1015
022_081L,1022
022_081L,1021
022_081R,1020
022_081R,1021
022_082L,1020
022_082L,1021
022_082R,1020
022_082R,1021
022_083L,1025
022_083L,1027
022_083L,1020
022_083L,1021
022_083R,1025
022_083R,1020
022_084L,1026
022_084L,1025
022_084L,1027
022_084L,1020
022_084R,1026
022_084R,1025
022_085L,1026
022_085L,1025
022_085R,1026
022_086L,1026
022_086R,1026
022_087L,1103
022_087L,1026
022_087R,1103
022_087R,1026
022_088L,1103
022_088R,1103
022_088R,1106
022_089L,1103
022_089L,1106
022_089R,1105
022_089R,1103
022_089R,1106
022_090L,1105
022_090L,1106
022_090R,1105
022_090R,1106
022_091L,1105
022_091L,1106
022_091R,1105
022_091R,1109
022_091R,1110
022_092L,1105
022_092L,1109
022_092L,1110
022_092R,1105
022_092R,1113
022_092R,1109
022_092R,1110
022_093L,1113
022_093L,1109
022_093L,1110
022_093R,1113
022_093R,1109
022_094L,1113
022_094L,1109
022_094R,1113
022_095L,1203
022_095L,1113
022_095R,1203
022_095R,1113
022_096L,1203
022_096L,1113
022_096R,1203
022_096R,1206
022_096R,1113
022_097L,1203
022_097R,1203
022_097R,1206
022_098L,1203
022_098L,1206
022_098R,1203
022_098R,1206
022_099L,1207
022_099L,1203
022_099L,1206
022_099R,1207
022_099R,1206
022_100L,1207
022_100R,1207
022_101L,1207
022_101R,1207
022_101R,1209
022_102L,1207
022_102L,1209
022_102R,1210
022_102R,1207
022_102R,1209
022_103L,1210
022_103L,1207
022_103L,1209
022_103R,1210
022_103R,1209
022_104L,1210
022_104L,1209
022_104R,1210
022_105L,1210
022_105L,1209
022_105R,1210
035_226L,0203
035_226R,0203
035_227L,0203
035_227L,0110
035_227L,0108
035_227R,0203
035_227R,0110
