/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_2958.log:8:This granule has no pixels that intersect reaches, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_2970.log:4:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_2967.log:4:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_2965.log:4:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_2960.log:4:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_2966.log:4:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_2969.log:4:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_2961.log:4:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_2972.log:4:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_2968.log:4:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_2971.log:4:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_2964.log:4:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_2973.log:4:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_2963.log:4:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_2974.log:8:This granule has no pixels that intersect reaches, exiting.
